lat,long
42.99570,-78.78893
42.97507,-78.80899
42.99573,-78.78867
42.97493,-78.80886
42.99575,-78.78842
42.97477,-78.80873
42.99578,-78.78818
42.97462,-78.80861
42.99574,-78.78798
42.97446,-78.80850
42.99570,-78.78779
42.97432,-78.80835
42.99562,-78.78764
42.97417,-78.80822
42.99553,-78.78747
42.97402,-78.80809
42.99542,-78.78735
42.97386,-78.80795
42.99527,-78.78722
42.97371,-78.80782
42.99511,-78.78713
42.97355,-78.80768
42.99496,-78.78709
42.97341,-78.80755
42.99481,-78.78709
42.97327,-78.80742
42.99465,-78.78713
42.97313,-78.80730
42.99449,-78.78713
42.97299,-78.80719
42.99432,-78.78716
42.97287,-78.80708
42.99416,-78.78721
42.97275,-78.80698
42.99399,-78.78726
42.97265,-78.80689
42.99381,-78.78731
42.97258,-78.80683
42.99365,-78.78737
42.97252,-78.80678
42.99347,-78.78743
42.97246,-78.80672
42.99328,-78.78748
42.97241,-78.80668
42.99309,-78.78755
42.97237,-78.80665
42.99291,-78.78761
42.97236,-78.80664
42.99272,-78.78769
42.97234,-78.80662
42.99252,-78.78776
42.97230,-78.80659
42.99233,-78.78785
42.97228,-78.80657
42.99214,-78.78796
42.97224,-78.80652
42.99196,-78.78808
42.97221,-78.80649
42.99178,-78.78821
42.97217,-78.80646
42.99161,-78.78836
42.97214,-78.80642
42.99144,-78.78849
42.97209,-78.80639
42.99126,-78.78864
42.97204,-78.80634
42.99108,-78.78877
42.97198,-78.80629
42.99091,-78.78891
42.97193,-78.80624
42.99073,-78.78905
42.97186,-78.80619
42.99055,-78.78918
42.97180,-78.80613
42.99038,-78.78934
42.97173,-78.80608
42.99021,-78.78948
42.97161,-78.80622
42.99003,-78.78962
42.97157,-78.80628
42.98985,-78.78976
42.97149,-78.80635
42.98968,-78.78990
42.97138,-78.80642
42.98950,-78.79004
42.97127,-78.80652
42.98933,-78.79018
42.97117,-78.80662
42.98917,-78.79031
42.97105,-78.80673
42.98901,-78.79044
42.97093,-78.80684
42.98884,-78.79056
42.97080,-78.80695
42.98868,-78.79068
42.97068,-78.80706
42.98853,-78.79081
42.97053,-78.80719
